"sat","tothrs","hsize","hsrank","hsperc","colgpa","athlete","female","white","black","gpaletter"
920,43,0.1,4,40,2.04,"TRUE","TRUE","FALSE","FALSE","C"
1170,18,4.8600001,191,20.319,4,"FALSE","FALSE","TRUE","FALSE","A"
810,14,1.1900001,42,35.294,1.78,"TRUE","FALSE","TRUE","FALSE","C"
940,40,5.71,252,44.133,2.4200001,"FALSE","FALSE","TRUE","FALSE","C"
1180,18,2.1400001,86,40.187,2.6099999,"FALSE","FALSE","TRUE","FALSE","B"
980,114,2.6800001,41,15.299,3.03,"FALSE","TRUE","TRUE","FALSE","B"
880,78,3.1099999,161,51.768,1.84,"FALSE","FALSE","FALSE","FALSE","C"
980,55,2.6800001,101,37.687,3.05,"FALSE","FALSE","TRUE","FALSE","B"
1240,18,3.6700001,161,43.869,3,"FALSE","FALSE","TRUE","FALSE","B"
1230,17,0.1,3,30,2,"FALSE","FALSE","TRUE","FALSE","C"
1140,78,3.3399999,95,28.443,2.98,"FALSE","TRUE","TRUE","FALSE","B"
1150,43,3.5899999,13,3.621,2.9300001,"FALSE","TRUE","TRUE","FALSE","B"
1080,17,3.1800001,31,9.748,2,"TRUE","FALSE","TRUE","FALSE","C"
990,64,1.92,51,26.562,2.21,"FALSE","TRUE","TRUE","FALSE","C"
1000,45,3.6900001,29,7.859,3.3299999,"FALSE","TRUE","TRUE","FALSE","B"
1050,14,2.6600001,134,50.376,1.0700001,"FALSE","TRUE","TRUE","FALSE","D"
1160,41,1.45,99,68.276,2.29,"FALSE","TRUE","TRUE","FALSE","C"
1190,13,1.76,74,42.045,3.1500001,"FALSE","FALSE","TRUE","FALSE","B"
1030,110,3.8599999,81,20.984,2.6500001,"FALSE","TRUE","TRUE","FALSE","B"
960,106,3.8299999,66,17.232,2.4100001,"TRUE","FALSE","TRUE","FALSE","C"
840,104,1.0700001,7,6.542,2.3900001,"FALSE","FALSE","TRUE","FALSE","C"
920,115,2.1700001,65,29.954,2.6400001,"FALSE","TRUE","TRUE","FALSE","B"
840,96,2.3399999,141,60.256,2.1800001,"FALSE","TRUE","TRUE","FALSE","C"
1000,50,4.6300001,133,28.726,2.8399999,"FALSE","FALSE","TRUE","FALSE","B"
1150,100,5.9499998,301,50.588,2.8399999,"FALSE","TRUE","TRUE","FALSE","B"
1040,112,0.91000003,30,32.967,2.9300001,"FALSE","FALSE","TRUE","FALSE","B"
970,17,4.3600001,41,9.404,2.29,"FALSE","TRUE","TRUE","FALSE","C"
